ID,Bureaux,"Region, Pays",City delimitor position,Region delimitor pos,Region,Country,Address
126,"Thales near  Stuttgart,  Baden-Württemberg,  Germany","Stuttgart,  Baden-Württemberg,  Germany",10,30,"Stuttgart,  Baden-Württemberg",Germany,
245,"Thales near  Ulm,  Baden-Württemberg,  Germany","Ulm,  Baden-Württemberg,  Germany",4,24,"Ulm,  Baden-Württemberg",Germany,
402,"Thales near  Walldorf,  Hessen,  Germany","Walldorf,  Hessen,  Germany",9,18,"Walldorf,  Hessen",Germany,
395,"Thales near  Wilhelmshaven,  Niedersachsen,  Germany","Wilhelmshaven,  Niedersachsen,  Germany",14,30,"Wilhelmshaven,  Niedersachsen",Germany,
191,"Thales near  Koropi-Athens,  Attica,  Greece","Koropi-Athens,  Attica,  Greece",14,23,"Koropi-Athens,  Attica",Greece,
516,"Thales near  Budapest,  Budapest,  Hungary","Budapest,  Budapest,  Hungary",9,20,"Budapest,  Budapest",Hungary,
674,"Thales near  Bangalore,  Karnataka,  India","Bangalore,  Karnataka,  India",10,22,"Bangalore,  Karnataka",India,
607,"Thales near  Chennai,  Tamilnadu,  India","Chennai,  Tamilnadu,  India",8,20,"Chennai,  Tamilnadu",India,
609,"Thales near  Kochi,  Kerala,  India","Kochi,  Kerala,  India",6,15,"Kochi,  Kerala",India,
196,"Thales near  Mumbai,  Maharashtra,  India","Mumbai,  Maharashtra,  India",7,21,"Mumbai,  Maharashtra",India,
194,"Thales near  New Delhi,  Territory of Delhi,  India","New Delhi,  Territory of Delhi,  India",10,31,"New Delhi,  Territory of Delhi",India,
199,"Thales near  Jakarta,  Territory of Jakarta,  Indonesia","Jakarta,  Territory of Jakarta,  Indonesia",8,31,"Jakarta,  Territory of Jakarta",Indonesia,
202,"Thales near  Tehran,  Tehran,  Iran","Tehran,  Tehran,  Iran",7,16,"Tehran,  Tehran",Iran,
419,"Thales near  Campi Bisenzio (FI),  Toscana,  Italy","Campi Bisenzio (FI),  Toscana,  Italy",20,30,"Campi Bisenzio (FI),  Toscana",Italy,
228,"Thales near  Chieti,  Abruzzo,  Italy","Chieti,  Abruzzo,  Italy",7,17,"Chieti,  Abruzzo",Italy,
433,"Thales near  Firenze,  Toscana,  Italy","Firenze,  Toscana,  Italy",8,18,"Firenze,  Toscana",Italy,
431,"Thales near  Gorgonzola ,  Lombardia,  Italy","Gorgonzola ,  Lombardia,  Italy",12,24,"Gorgonzola ,  Lombardia",Italy,
416,"Thales near  L'Aquila,  Abruzzo,  Italy","L'Aquila,  Abruzzo,  Italy",9,19,"L'Aquila,  Abruzzo",Italy,
