name,description,timestamp,begin,_end,altitudemode,tessellate,extrude,visibility,draworder,icon,id,bureaux,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
,"<div class=""googft-info-window"">
<b>ID:</b> 182<br>
<b>Bureaux:</b> Thales near  Santiago,  Metropolitan Region,  Chile
</div>",,,,,,,-1,,,182,"Thales near  Santiago,  Metropolitan Region,  Chile",,240,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 533<br>
<b>Bureaux:</b> Thales near  Shangai,  Shangai,  China
</div>",,,,,,,-1,,,533,"Thales near  Shangai,  Shangai,  China",,243,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 396<br>
<b>Bureaux:</b> Thales near  Siegburg,  Nordrhein-Westfalen,  Germany
</div>",,,,,,,-1,,,396,"Thales near  Siegburg,  Nordrhein-Westfalen,  Germany",,245,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 507<br>
<b>Bureaux:</b> Thales near  Sofia,  Sofia,  Bulgaria
</div>",,,,,,,-1,,,507,"Thales near  Sofia,  Sofia,  Bulgaria",,248,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 238<br>
<b>Bureaux:</b> Thales near  Stockport,  North West,  United Kingdom
</div>",,,,,,,-1,,,238,"Thales near  Stockport,  North West,  United Kingdom",,255,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 649<br>
<b>Bureaux:</b> Thales near  Stoneham,  Massachusetts,  United States
</div>",,,,,,,-1,,,649,"Thales near  Stoneham,  Massachusetts,  United States",,256,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 76<br>
<b>Bureaux:</b> Thales near  Thonon,  Rhône-Alpes,  France
</div>",,,,,,,-1,,,76,"Thales near  Thonon,  Rhône-Alpes,  France",,261,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 663<br>
<b>Bureaux:</b> Thales near  Thorney Island,  Hampshire,  United Kingdom
</div>",,,,,,,-1,,,663,"Thales near  Thorney Island,  Hampshire,  United Kingdom",,262,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 417<br>
<b>Bureaux:</b> Thales near  Torino,  Piemonte,  Italy
</div>",,,,,,,-1,,,417,"Thales near  Torino,  Piemonte,  Italy",,266,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 214<br>
<b>Bureaux:</b> Thales near  Tripoli,  Lybia,  Libya
</div>",,,,,,,-1,,,214,"Thales near  Tripoli,  Lybia,  Libya",,274,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 245<br>
<b>Bureaux:</b> Thales near  Ulm,  Baden-Württemberg,  Germany
</div>",,,,,,,-1,,,245,"Thales near  Ulm,  Baden-Württemberg,  Germany",,277,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 67<br>
<b>Bureaux:</b> Thales near  Vélizy,  Région Parisienne,  France
</div>",,,,,,,-1,,,67,"Thales near  Vélizy,  Région Parisienne,  France",,282,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 402<br>
<b>Bureaux:</b> Thales near  Walldorf,  Hessen,  Germany
</div>",,,,,,,-1,,,402,"Thales near  Walldorf,  Hessen,  Germany",,290,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 642<br>
<b>Bureaux:</b> Thales near  Yorkshire,  Yorkshire,  United Kingdom
</div>",,,,,,,-1,,,642,"Thales near  Yorkshire,  Yorkshire,  United Kingdom",,303,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 514<br>
<b>Bureaux:</b> Thales near  Zagreb,  Zagreb,  Croatia
</div>",,,,,,,-1,,,514,"Thales near  Zagreb,  Zagreb,  Croatia",,304,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 236<br>
<b>Bureaux:</b> Thales near  Abbey Wood - Bristol,  South East,  United Kingdom
</div>",,,,,,,-1,,,236,"Thales near  Abbey Wood - Bristol,  South East,  United Kingdom",0101000020E61000002C346B84D97F04C020A9CF1FE4C04940,1,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
